,App,Category,Rating,Reviews,Size,Installs,Type,Price,Age_group,Genres,Last Updated,Current Ver,Android Ver
0,Photo Editor & Candy Camera & Grid & ScrapBook,ART_AND_DESIGN,4.1,159,19M,"10,000+",Free,100.0,Everyone,Art & Design,7-Jan-18,1.0.0,4.0.3 and up
1,Coloring book moana,ART_AND_DESIGN,3.9,967,14M,"500,000+",Free,100.0,Everyone,Art & Design;Pretend Play,15-Jan-18,2.0.0,4.0.3 and up
2,"X Launcher Pro: PhoneX Theme, OS11 Control Center",ART_AND_DESIGN,4.7,801,3.5M,"5,000+",Paid,1.99,Everyone,Art & Design,30-Jul-18,2.1.2,4.1 and up
3,X Launcher Pro - IOS Style Theme & Control Center,ART_AND_DESIGN,4.8,1216,8.6M,"10,000+",Paid,1.99,Everyone,Art & Design,26-Jun-18,1.0.0,4.1 and up
4,X Launcher Prime: With OS Style Theme & No Ads,ART_AND_DESIGN,4.7,149,3.5M,"1,000+",Paid,1.99,Everyone,Art & Design,30-Jul-18,1.2.2,4.1 and up
5,"Alizay, pirate girl",FAMILY,4.5,197,11M,"1,000+",Paid,2.99,Everyone,Casual;Action & Adventure,23-Mar-17,4.0.2,2.3 and up
6,Whoowasit? - Best kids game!,FAMILY,4.0,248,26M,"5,000+",Paid,2.99,Everyone,Board;Action & Adventure,24-Jul-18,1.6,4.1 and up
7,Nighty Night Circus,FAMILY,4.3,382,15M,"10,000+",Paid,2.99,Everyone,Education;Action & Adventure,7-Mar-17,2.6,2.3 and up
12,Attack the Light,FAMILY,4.7,19209,21M,"100,000+",Paid,2.99,Everyone,Role Playing;Action & Adventure,23-Feb-16,1.1.4,4.0 and up
14,MEGA MAN MOBILE,GAME,4.0,267,40M,"10,000+",Paid,1.99,Everyone,Action,17-Feb-17,1.02.01,4.0 and up
16,CN Superstar Soccer: Goal!!!,FAMILY,4.1,3863,41M,"100,000+",Paid,2.99,Everyone,Sports;Action & Adventure,24-May-18,1.1.1,4.1 and up
21,Formula Cartoon All Stars,FAMILY,3.9,1213,18M,"10,000+",Paid,2.99,Everyone,Racing;Action & Adventure,25-Jun-15,4.1.2,2.3.3 and up
22,CT-REMOTE,GAME,3.3,19,1.6M,100+,Paid,4.49,Everyone,Action,10-Feb-15,1.4,2.3 and up
24,DraStic DS Emulator,GAME,4.6,87766,12M,"1,000,000+",Paid,4.99,Everyone,Action,19-Jul-16,r2.5.0.3a,2.3 and up
25,NBA JAM by EA SPORTS™,FAMILY,4.3,56444,43M,"500,000+",Paid,4.99,Everyone,Sports;Action & Adventure,8-Feb-17,04.00.40,2.3 and up
27,The Game of Life,GAME,4.4,18621,63M,"100,000+",Paid,2.99,Everyone,Board,4-Jul-18,2.1.2,4.4 and up
29,The Room: Old Sins,GAME,4.9,21119,48M,"100,000+",Paid,4.99,Everyone,Puzzle,18-Apr-18,1.0.1,4.4 and up
30,Farming Simulator 18,GAME,4.5,18125,15M,"100,000+",Paid,4.99,Everyone,Simulation;Education,9-Jul-18,Varies with device,4.4 and up
31,RollerCoaster Tycoon® Classic,GAME,4.6,10795,69M,"100,000+",Paid,5.99,Everyone,Simulation,21-Dec-17,1.2.1.1712080,4.0.3 and up
32,Monument Valley 2,GAME,4.6,9394,33M,"100,000+",Paid,4.99,Everyone,Puzzle,30-Nov-17,1.2.9,4.4 and up
33,Hactar Go,FAMILY,4.8,97,3.5M,"1,000+",Paid,2.99,Everyone,Board;Brain Games,30-Mar-18,2.4.15,4.0 and up
34,Steam: Rails to Riches,FAMILY,4.2,214,67M,"5,000+",Paid,4.99,Everyone,Board;Brain Games,13-Dec-17,3.3.1,4.1 and up
35,Lanterns: The Harvest Festival,FAMILY,4.7,185,72M,"1,000+",Paid,4.99,Everyone,Board;Brain Games,1-May-18,1.16.5,4.1 and up
36,Tsuro - The Game of the Path,FAMILY,4.7,2195,37M,"10,000+",Paid,2.99,Everyone,Board;Brain Games,2-Aug-16,1.3.3,2.3 and up
37,THE aMAZEing Labyrinth,FAMILY,3.9,1615,1.2M,"10,000+",Paid,4.99,Everyone,Board;Brain Games,9-Feb-16,1.0.3,4.0 and up
38,Chess and Mate,FAMILY,4.5,359,17M,"5,000+",Paid,4.99,Everyone,Board;Brain Games,12-Aug-15,2.0.5,2.3 and up
39,Mind Games Pro,FAMILY,4.6,15301,18M,"100,000+",Paid,2.99,Everyone,Puzzle;Brain Games,18-Jul-18,3.0.5,2.3 and up
41,Traps n' Gemstones,GAME,4.5,413,9.1M,"1,000+",Paid,4.99,Everyone,Adventure,17-May-17,1.04,4.0.3 and up
42,Jump'N'Shoot Attack,GAME,4.1,155,32M,"1,000+",Paid,2.49,Everyone,Arcade,26-May-18,1.2,4.1 and up
44,R-TYPE II,GAME,4.3,5682,37M,"50,000+",Paid,1.99,Everyone,Arcade,2-Mar-17,1.1.5,2.3.3 and up
45,R-TYPE,GAME,4.5,7687,23M,"100,000+",Paid,1.99,Everyone,Arcade,27-Feb-17,2.3.1,2.3.3 and up
46,Ludo - Don't get angry,GAME,4.2,131,23M,"1,000+",Paid,1.61,Everyone,Board,24-Feb-16,1.6.3,2.3.3 and up
47,ONScripter Plus (Ad Free),GAME,4.5,100,17M,"1,000+",Paid,3.99,Everyone,Adventure,7-Apr-16,1.2.4,4.1 and up
48,AJ Jump: Animal Jam Kangaroos!,GAME,4.4,2975,42M,"50,000+",Paid,1.99,Everyone,Arcade,7-Mar-16,1.6,4.0 and up
49,I am Bread,GAME,4.0,630,20M,"10,000+",Paid,4.99,Everyone,Adventure,26-Oct-16,1.6.1,4.4 and up
50,The Hunt for the Lost Treasure,FAMILY,4.6,7148,8.1M,"100,000+",Paid,2.99,Everyone,Adventure;Brain Games,13-Sep-17,1.8,4.0.3 and up
51,Ra Ga Ba,GAME,5.0,2,20M,1+,Paid,1.49,Everyone,Arcade,8-Feb-17,1.0.4,2.3 and up
52,Backgammon NJ for Android,GAME,4.4,1644,15M,"10,000+",Paid,7.99,Everyone,Board,5-Apr-17,4.1,2.3.3 and up
53,BJ Bridge Pro 2018,GAME,4.4,17,4.8M,500+,Paid,4.49,Everyone,Card,21-May-18,6.2-pro,4.0 and up
55,The Legacy (Full),GAME,4.6,144,6.3M,"1,000+",Paid,6.99,Everyone,Adventure,15-May-18,1.0.9,4.0 and up
56,Skip-Bo™,GAME,4.4,33661,60M,"100,000+",Paid,2.99,Everyone,Card,3-Aug-18,3.4.6,4.1 and up
57,BW-Go,GAME,4.8,265,1.3M,"1,000+",Paid,3.49,Everyone,Board,18-Jun-15,4.8.1,2.3 and up
58,PAC-MAN CE DX,GAME,4.5,1692,36M,"10,000+",Paid,4.99,Everyone,Arcade,23-Apr-18,1.1.0,4.0.3 and up
59,Adventure Time Game Wizard,GAME,4.1,4107,40M,"50,000+",Paid,4.99,Everyone,Adventure,16-Jul-15,1.2.0,4.1 and up
65,Dirt Trackin Sprint Cars,GAME,3.8,499,47M,"10,000+",Paid,3.99,Everyone,Racing,10-May-18,1.0.13,5.0 and up
66,WIZARD Card Game,GAME,4.0,48,4.1M,"1,000+",Paid,1.99,Everyone,Card,15-Dec-14,1.0.141215,2.1 and up
67,The Game of Life,GAME,4.4,18652,63M,"100,000+",Paid,2.99,Everyone,Board,4-Jul-18,2.1.2,4.4 and up
68,Where's My Water?,FAMILY,4.7,188740,69M,"1,000,000+",Paid,1.99,Everyone,Puzzle;Brain Games,5-Jul-18,1.16.0,4.2 and up
69,Sonic 4™ Episode I,GAME,3.7,8014,37M,"100,000+",Paid,2.99,Everyone,Arcade,4-Apr-16,1.5.0,2.2 and up
70,Galaxian(FC),GAME,4.5,2,7.8M,100+,Paid,1.99,Everyone,Arcade,13-Nov-15,1,2.3 and up
71,Solitaire+,GAME,4.6,11235,Varies with device,"100,000+",Paid,2.99,Everyone,Card,30-Jul-18,Varies with device,Varies with device
72,Calculator,DATING,2.6,57,6.2M,"1,000+",Paid,6.99,Everyone,Dating,25-Oct-17,1.1.6,4.0 and up
73,"Private Dating, Hide App- Blue for PrivacyHider",DATING,,0,18k,100+,Paid,2.99,Everyone,Dating,25-Jul-17,1.0.1,4.0 and up
74,TurboScan: scan documents and receipts in PDF,BUSINESS,4.7,11442,6.8M,"100,000+",Paid,4.99,Everyone,Business,25-Mar-18,1.5.2,4.0 and up
75,Tiny Scanner Pro: PDF Doc Scan,BUSINESS,4.8,10295,39M,"100,000+",Paid,4.99,Everyone,Business,11-Apr-17,3.4.6,3.0 and up
78,AW Toolbox,BUSINESS,,3,13M,100+,Paid,19.9,Everyone,Business,22-Dec-16,1.6.2,4.0 and up
79,SkyTest BU/GU Lite,BUSINESS,2.9,28,20M,500+,Paid,17.99,Everyone,Business,24-Oct-17,2.0.5,3.0 and up
80,BZ Reminder PRO,BUSINESS,4.8,726,5.4M,"1,000+",Paid,3.99,Everyone,Business,20-Dec-17,2.3.3,4.1 and up
81,CM FILE MANAGER Pro,BUSINESS,4.2,2359,2.7M,"10,000+",Paid,2.99,Everyone,Business,16-Feb-16,1.16.9,1.6 and up
82,"Super Resume Builder Pro, CV",BUSINESS,4.4,244,6.9M,"1,000+",Paid,4.99,Everyone,Business,17-Aug-17,4.38,2.3 and up
