,App,Category,Rating,Reviews,Size,Installs,Type,Price,Age_group,Genres,Last Updated,Current Ver,Android Ver
0,Photo Editor & Candy Camera & Grid & ScrapBook,ART_AND_DESIGN,4.1,159,19M,"10,000+",Free,100.0,Everyone,Art & Design,7-Jan-18,1.0.0,4.0.3 and up
1,Coloring book moana,ART_AND_DESIGN,3.9,967,14M,"500,000+",Free,100.0,Everyone,Art & Design;Pretend Play,15-Jan-18,2.0.0,4.0.3 and up
234,TurboScan: scan documents and receipts in PDF,BUSINESS,4.7,11442,6.8M,"100,000+",Paid,4.99,Everyone,Business,25-Mar-18,1.5.2,4.0 and up
235,Tiny Scanner Pro: PDF Doc Scan,BUSINESS,4.8,10295,39M,"100,000+",Paid,4.99,Everyone,Business,11-Apr-17,3.4.6,3.0 and up
290,TurboScan: scan documents and receipts in PDF,BUSINESS,4.7,11442,6.8M,"100,000+",Paid,4.99,Everyone,Business,25-Mar-18,1.5.2,4.0 and up
291,Tiny Scanner Pro: PDF Doc Scan,BUSINESS,4.8,10295,39M,"100,000+",Paid,4.99,Everyone,Business,11-Apr-17,3.4.6,3.0 and up
427,Puffin Browser Pro,COMMUNICATION,4.0,18247,Varies with device,"100,000+",Paid,3.99,Everyone,Communication,5-Jul-18,7.5.3.20547,4.1 and up
477,Calculator,DATING,2.6,57,6.2M,"1,000+",Paid,6.99,Everyone,Dating,25-Oct-17,1.1.6,4.0 and up
479,"Private Dating, Hide App- Blue for PrivacyHider",DATING,,0,18k,100+,Paid,2.99,Everyone,Dating,25-Jul-17,1.0.1,4.0 and up
851,Sago Mini Hat Maker,EDUCATION,4.9,11,63M,"1,000+",Paid,3.99,Everyone,Education;Pretend Play,24-Jul-17,1,4.0.3 and up
852,Fuzzy Numbers: Pre-K Number Foundation,EDUCATION,4.7,21,44M,"1,000+",Paid,5.99,Everyone,Education;Education,21-Jul-17,1.3,4.1 and up
853,Toca Life: City,EDUCATION,4.7,31085,24M,"500,000+",Paid,3.99,Everyone,Education;Pretend Play,6-Jul-18,1.5-play,4.4 and up
854,Toca Life: Hospital,EDUCATION,4.7,3528,24M,"100,000+",Paid,3.99,Everyone,Education;Pretend Play,12-Jun-18,1.1.1-play,4.4 and up
995,My Talking Pet,ENTERTAINMENT,4.6,6238,Varies with device,"100,000+",Paid,4.99,Everyone,Entertainment,30-Jun-18,Varies with device,Varies with device
1227,My CookBook Pro (Ad Free),FOOD_AND_DRINK,4.6,2129,Varies with device,"10,000+",Paid,3.49,Everyone,Food & Drink,28-Jun-18,Varies with device,Varies with device
1228,Paprika Recipe Manager,FOOD_AND_DRINK,4.1,1268,2.3M,"50,000+",Paid,4.99,Everyone,Food & Drink,3-Jun-18,1.4.4,4.0 and up
1327,Pocket Yoga,HEALTH_AND_FITNESS,4.4,2107,Varies with device,"100,000+",Paid,2.99,Everyone,Health & Fitness,22-Dec-15,Varies with device,Varies with device
1335,Meditation Studio,HEALTH_AND_FITNESS,4.6,1026,29M,"10,000+",Paid,3.99,Everyone,Health & Fitness,15-May-18,1.0.6,4.3 and up
1341,Relax Melodies P: Sleep Sounds,HEALTH_AND_FITNESS,4.8,19543,Varies with device,"100,000+",Paid,2.99,Everyone,Health & Fitness,19-Jan-18,Varies with device,Varies with device
1347,Pocket Yoga,HEALTH_AND_FITNESS,4.4,2107,Varies with device,"100,000+",Paid,2.99,Everyone,Health & Fitness,22-Dec-15,Varies with device,Varies with device
1831,The Game of Life,GAME,4.4,18621,63M,"100,000+",Paid,2.99,Everyone,Board,4-Jul-18,2.1.2,4.4 and up
1832,Clue,GAME,4.6,19922,35M,"100,000+",Paid,1.99,KIDS,Board,30-Jul-18,2.2.5,5.0 and up
1833,The Room: Old Sins,GAME,4.9,21119,48M,"100,000+",Paid,4.99,Everyone,Puzzle,18-Apr-18,1.0.1,4.4 and up
1835,Farming Simulator 18,GAME,4.5,18125,15M,"100,000+",Paid,4.99,Everyone,Simulation;Education,9-Jul-18,Varies with device,4.4 and up
1836,RollerCoaster Tycoon® Classic,GAME,4.6,10795,69M,"100,000+",Paid,5.99,Everyone,Simulation,21-Dec-17,1.2.1.1712080,4.0.3 and up
1839,Monument Valley 2,GAME,4.6,9394,33M,"100,000+",Paid,4.99,Everyone,Puzzle,30-Nov-17,1.2.9,4.4 and up
2062,Toca Mystery House,FAMILY,4.2,96,79M,"5,000+",Paid,3.99,Everyone,Educational;Creativity,14-Jun-18,1.0.1,4.4 and up
2085,My Little Princess : Stores,FAMILY,4.3,169,60M,"5,000+",Paid,2.99,Everyone,Educational;Pretend Play,25-May-18,1.08,4.1 and up
2086,Sago Mini Big City,FAMILY,4.2,8,44M,"1,000+",Paid,3.99,Everyone,Education;Pretend Play,9-Jul-18,1.1,4.4 and up
2087,Pinkalicious Party,FAMILY,3.0,2,82M,500+,Paid,2.99,Everyone,Educational;Creativity,25-Jun-18,1.5.0,4.1 and up
2150,Toca Builders,FAMILY,4.2,3328,Varies with device,"100,000+",Paid,3.99,Everyone,Education;Creativity,13-Jul-17,Varies with device,Varies with device
2151,Toca Life: City,FAMILY,4.7,31100,24M,"500,000+",Paid,3.99,Everyone,Education;Pretend Play,6-Jul-18,1.5-play,4.4 and up
2152,LEGO® Friends,FAMILY,4.4,854,6.9M,"10,000+",Paid,4.99,Everyone,Casual;Pretend Play,1-Dec-15,Varies with device,4.0.3 and up
2153,My Little Work – Garage,FAMILY,4.3,560,44M,"10,000+",Paid,3.99,Everyone,Casual;Education,17-Jun-15,2.0.1,2.3 and up
2154,"Alizay, pirate girl",FAMILY,4.5,197,11M,"1,000+",Paid,2.99,Everyone,Casual;Action & Adventure,23-Mar-17,4.0.2,2.3 and up
2168,Children Educational Game Full,FAMILY,4.7,30,Varies with device,"1,000+",Paid,7.49,Everyone,Educational;Education,16-May-18,Varies with device,Varies with device
2170,Hactar Go,FAMILY,4.8,97,3.5M,"1,000+",Paid,2.99,Everyone,Board;Brain Games,30-Mar-18,2.4.15,4.0 and up
2174,Steam: Rails to Riches,FAMILY,4.2,214,67M,"5,000+",Paid,4.99,Everyone,Board;Brain Games,13-Dec-17,3.3.1,4.1 and up
2175,Whoowasit? - Best kids game!,FAMILY,4.0,248,26M,"5,000+",Paid,2.99,Everyone,Board;Action & Adventure,24-Jul-18,1.6,4.1 and up
2176,Lanterns: The Harvest Festival,FAMILY,4.7,185,72M,"1,000+",Paid,4.99,Everyone,Board;Brain Games,1-May-18,1.16.5,4.1 and up
2177,Tsuro - The Game of the Path,FAMILY,4.7,2195,37M,"10,000+",Paid,2.99,Everyone,Board;Brain Games,2-Aug-16,1.3.3,2.3 and up
2178,THE aMAZEing Labyrinth,FAMILY,3.9,1615,1.2M,"10,000+",Paid,4.99,Everyone,Board;Brain Games,9-Feb-16,1.0.3,4.0 and up
2179,Chess and Mate,FAMILY,4.5,359,17M,"5,000+",Paid,4.99,Everyone,Board;Brain Games,12-Aug-15,2.0.5,2.3 and up
2189,Avokiddo Emotions,FAMILY,4.6,73,12M,"1,000+",Paid,2.99,Everyone,Education;Pretend Play,21-May-18,1.7.0,4.0.3 and up
2190,Nighty Night Circus,FAMILY,4.3,382,15M,"10,000+",Paid,2.99,Everyone,Education;Action & Adventure,7-Mar-17,2.6,2.3 and up
2191,Sago Mini Babies,FAMILY,4.5,253,83M,"10,000+",Paid,3.99,Everyone,Education;Pretend Play,28-Oct-16,1.1,4.0.3 and up
2192,Dr. Panda & Toto's Treehouse,FAMILY,4.4,3396,9.5M,"50,000+",Paid,3.99,Everyone,Casual;Pretend Play,9-Dec-14,1.8,4.0 and up
2202,Avokiddo Emotions,FAMILY,4.6,73,12M,"1,000+",Paid,2.99,Everyone,Education;Pretend Play,21-May-18,1.7.0,4.0.3 and up
2203,Nighty Night Circus,FAMILY,4.3,382,15M,"10,000+",Paid,2.99,Everyone,Education;Action & Adventure,7-Mar-17,2.6,2.3 and up
2204,Sago Mini Babies,FAMILY,4.5,253,83M,"10,000+",Paid,3.99,Everyone,Education;Pretend Play,28-Oct-16,1.1,4.0.3 and up
2205,Dr. Panda & Toto's Treehouse,FAMILY,4.4,3396,9.5M,"50,000+",Paid,3.99,Everyone,Casual;Pretend Play,9-Dec-14,1.8,4.0 and up
2241,Minecraft,FAMILY,4.5,2376564,Varies with device,"10,000,000+",Paid,6.99,KIDS,Arcade;Action & Adventure,24-Jul-18,1.5.2.1,Varies with device
2242,Card Wars - Adventure Time,FAMILY,4.3,129603,23M,"1,000,000+",Paid,2.99,KIDS,Card;Action & Adventure,11-Feb-16,1.11.0,2.3.3 and up
2243,Monash Uni Low FODMAP Diet,MEDICAL,4.2,1135,12M,"100,000+",Paid,9.0,Everyone,Medical,16-Jul-18,2.0.7,4.0 and up
2245,Pedi STAT,MEDICAL,4.6,129,2.9M,"10,000+",Paid,5.49,Everyone,Medical,6-Apr-18,3.0.1.0,4.1 and up
2246,ASCCP Mobile,MEDICAL,4.5,63,25M,"10,000+",Paid,9.99,Everyone,Medical,3-Oct-16,2.1.1,2.2 and up
2247,Journal Club: Medicine,MEDICAL,4.8,216,Varies with device,"10,000+",Paid,6.99,Everyone,Medical,17-Jun-17,Varies with device,Varies with device
